id;start_date;end_date;language
1;2021-03-25T12:58:48;2021-03-25T10:49:03;SPANISH
2;2021-03-24T17:48:59;2021-03-25T12:53:24;SPANISH
3;2021-03-25T08:44:18;2021-03-24T19:18:27;FRENCH
4;2021-03-25T00:01:49;2021-03-25T11:33:15;FRENCH
5;2021-03-25T09:32:07;2021-03-25T14:19:06;FRENCH
6;2021-03-25T03:24:28;2021-03-25T15:32:42;FRENCH
7;2021-03-25T05:09:48;2021-03-24T23:00:39;FRENCH
8;2021-03-25T04:06:01;2021-03-25T14:22:09;SPANISH
9;2021-03-25T02:47:10;2021-03-24T23:28:33;SPANISH
10;2021-03-25T10:59:14;2021-03-24T21:33:44;SPANISH
